Length,Avg Manhattan Distance, Avg Manhattan Distance Time,Avg Displaced Tiles,Avg Displaced Tiles Time
4,4.0,0.0004723072052001953,4.1,0.0004087209701538086
8,9.6,0.0011219024658203126,16.7,0.0021863222122192384
12,25.3,0.003813004493713379,81.9,0.021230030059814452
16,62.6,0.016198396682739258,446.2,0.44018356800079345
20,234.9,0.14864046573638917,2605.0,13.129718947410584
