d,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
4,4,0.0007317066192626953,4,0.00034809112548828125
4,4,0.00048279762268066406,4,0.00041604042053222656
4,4,0.00044417381286621094,4,0.0004107952117919922
4,4,0.00043892860412597656,4,0.0004050731658935547
4,4,0.0004401206970214844,4,0.0004029273986816406
4,4,0.00043272972106933594,4,0.0003902912139892578
4,4,0.0004317760467529297,4,0.0003910064697265625
4,4,0.00043320655822753906,4,0.0005266666412353516
4,4,0.00043964385986328125,4,0.00039505958557128906
4,4,0.00044798851013183594,4,0.0004012584686279297
