problem,search cost,avg time,solved
0,2,0.016150712966918945,0
1,3,0.020966768264770508,0
2,5,0.030997037887573242,0
3,3,0.020865917205810547,0
4,4,0.0256650447845459,0
5,3,0.020399808883666992,0
6,4,0.02566814422607422,0
7,4,0.02534008026123047,0
8,4,0.02581620216369629,0
9,5,0.03127479553222656,0
10,4,0.026192188262939453,0
11,4,0.026539087295532227,0
12,3,0.020457983016967773,0
13,3,0.021388769149780273,0
14,4,0.02655506134033203,0
15,6,0.03552818298339844,0
16,1,0.010367155075073242,0
17,4,0.02500772476196289,0
18,6,0.03713488578796387,1
19,5,0.03052997589111328,0
20,4,0.027245044708251953,0
21,4,0.02633500099182129,0
22,4,0.026527881622314453,1
23,4,0.02573680877685547,0
24,7,0.042404890060424805,1
25,4,0.026814937591552734,0
26,4,0.02574300765991211,0
27,4,0.025936126708984375,0
28,5,0.030946969985961914,0
29,6,0.03589510917663574,0
30,4,0.02634906768798828,0
31,5,0.032716989517211914,1
32,3,0.021059036254882812,0
33,5,0.03097701072692871,0
34,4,0.027164220809936523,0
35,7,0.04130983352661133,1
36,6,0.03591609001159668,0
37,5,0.03082418441772461,0
38,6,0.035806894302368164,0
39,4,0.025959014892578125,0
40,6,0.037358760833740234,0
41,2,0.016191959381103516,0
42,5,0.03148913383483887,0
43,5,0.03174710273742676,1
44,3,0.021136999130249023,0
45,3,0.021870136260986328,0
46,2,0.01575922966003418,0
47,5,0.03216910362243652,0
48,5,0.03374600410461426,0
49,3,0.023648738861083984,0
50,4,0.02640819549560547,0
51,5,0.032111167907714844,0
52,5,0.03172492980957031,0
53,5,0.031055927276611328,0
54,3,0.0216519832611084,0
55,5,0.030702829360961914,0
56,6,0.03709006309509277,0
57,5,0.0323948860168457,1
58,5,0.03191328048706055,0
59,6,0.03726625442504883,0
60,6,0.03798508644104004,1
61,4,0.026134014129638672,0
62,5,0.030773162841796875,0
63,5,0.03148794174194336,0
64,4,0.02643108367919922,0
65,2,0.015666961669921875,0
66,3,0.021155834197998047,0
67,5,0.03143024444580078,0
68,3,0.0209810733795166,0
69,6,0.037267208099365234,0
70,3,0.021017074584960938,0
71,5,0.03235197067260742,1
72,5,0.03158116340637207,0
73,3,0.021463871002197266,0
74,4,0.026700735092163086,0
75,4,0.02776026725769043,0
76,3,0.021001815795898438,0
77,4,0.02775883674621582,0
78,3,0.021125078201293945,0
79,4,0.026545047760009766,0
80,4,0.02567601203918457,0
81,5,0.03127098083496094,0
82,3,0.021644115447998047,0
83,5,0.03155684471130371,0
84,5,0.03178596496582031,0
85,4,0.0271298885345459,0
86,3,0.02099609375,0
87,5,0.03152275085449219,0
88,4,0.027432918548583984,1
89,2,0.015606880187988281,0
90,4,0.027008056640625,0
91,5,0.03145790100097656,0
92,3,0.020503997802734375,0
93,5,0.03278303146362305,0
94,3,0.021469831466674805,0
95,5,0.030639171600341797,0
96,5,0.031052112579345703,0
97,3,0.0214388370513916,0
98,5,0.0314328670501709,0
99,4,0.025519847869873047,0
