Length,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
18,16,0.0011360645294189453,8,0.2207050323486328
363,12,0.3298211097717285,7,0.04891395568847656
391,16,0.3817131519317627,8,2.337416172027588
20,14,0.0015370845794677734,8,2.4981038570404053
245,10,0.1454451084136963,6,0.15240883827209473
358,16,0.31780409812927246,7,0.629767894744873
336,14,0.2760491371154785,8,4.766892910003662
12,10,0.000698089599609375,8,2.501101016998291
333,12,0.27811098098754883,8,1.8453080654144287
34,12,0.0037691593170166016,8,0.07682394981384277
