Length,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
5,4,0.00032711029052734375,4,0.00013685226440429688
5,4,0.0002760887145996094,4,0.00022792816162109375
5,4,0.00024819374084472656,4,0.00021576881408691406
5,4,0.00022411346435546875,4,0.0002071857452392578
5,4,0.00022602081298828125,4,0.0002090930938720703
5,4,0.00022077560424804688,4,0.00020503997802734375
5,4,0.00021982192993164062,4,0.00020384788513183594
5,4,0.00022101402282714844,3,0.0002779960632324219
5,4,0.00021004676818847656,4,0.0001938343048095703
5,4,0.00021195411682128906,4,0.00019693374633789062
