Length,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
139,18,0.04923510551452637,8,0.033057212829589844
367,12,0.33095574378967285,8,0.07969832420349121
177,14,0.08096194267272949,8,0.024652957916259766
24,18,0.0020720958709716797,8,2.077000856399536
221,12,0.1258540153503418,7,0.8993160724639893
377,18,0.3524348735809326,7,0.3938412666320801
573,14,0.8008019924163818,7,5.212669134140015
382,12,0.3600602149963379,8,2.454395055770874
339,14,0.28119397163391113,7,2.551265001296997
374,16,0.3494069576263428,8,3.8780438899993896
