Length,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
9,8,0.0004940032958984375,8,0.0004532337188720703
9,8,0.0005397796630859375,5,0.054833173751831055
11,8,0.0005669593811035156,7,0.5898149013519287
10,8,0.0004971027374267578,6,0.0006020069122314453
11,6,0.0005469322204589844,5,0.0008499622344970703
9,8,0.0004119873046875,5,0.007987022399902344
10,8,0.0005011558532714844,6,0.2210099697113037
5,4,0.00017690658569335938,3,0.0001952648162841797
9,8,0.0004360675811767578,7,0.0209808349609375
92,8,0.022073745727539062,5,0.10776019096374512
